2 840 Fri Mar 03 21:32:00 2006

sim/aircraft/acf_struct	int[10]	y	Pointers	Pointers to the individual aircraft structures.
sim/aircraft/view/acf_tailnum	char[40]	y	string	Tail number
sim/aircraft/view/acf_author	char[500]	y	[0]	string
sim/aircraft/view/acf_descrip	char[500]	y	string	Brief description of the plane
sim/aircraft/view/acf_size_x	float	y	???	???
sim/aircraft/view/acf_size_z	float	y	???	shadow size, and viewing distance size
sim/aircraft/view/acf_HUD_type	int	y	enum	HUD type
sim/aircraft/view/acf_asi_kts	int	y	enum	air speed indicator knots calibration
sim/aircraft/view/acf_cockpit_type	int	y	enum	cockpit panel type
sim/aircraft/view/acf_has_SC_fd	int	y	bool	has single cue flight director?
sim/aircraft/view/acf_has_stallwarn	int	y	bool	has audio stall warning?
sim/aircraft/view/acf_has_litemap_tex	int	y	enum	Do we have a lite mappe texture for this?
sim/aircraft/view/acf_peX	float	y	pos	Position of pilot's head relative to CG, X
sim/aircraft/view/acf_peY	float	y	pos	Position of pilot's head relative to CG, Y
sim/aircraft/view/acf_peZ	float	y	pos	Position of pilot's head relative to CG, Z
sim/aircraft/view/acf_Vso	float	y	kias	Various speed maxes for the aircraft.
sim/aircraft/view/acf_Vs	float	y	???	???
sim/aircraft/view/acf_Vfe	float	y	???	???
sim/aircraft/view/acf_Vno	float	y	???	???
sim/aircraft/view/acf_Vne	float	y	???	???
sim/aircraft/view/acf_Mmo	float	y	???	???
sim/aircraft/view/acf_Gneg	float	y	???	???
sim/aircraft/view/acf_Gpos	float	y	???	???
sim/aircraft/view/acf_est_Vs	float	y	???	???
sim/aircraft/view/acf_yawstringx	float	y	???	The yaw string, that thing that no one knows how to get rid of.
sim/aircraft/view/acf_yawstringy	float	y	???	???
sim/aircraft/view/acf_HUD_cntrx	float	y	pixels	HUD positioning
sim/aircraft/view/acf_HUD_cntry	float	y	???	???
sim/aircraft/view/acf_HUD_delx	float	y	???	???
sim/aircraft/view/acf_HUD_dely	float	y	???	???
sim/aircraft/view/acf_has_lanlite1	int	y	bool	Lighting Info
sim/aircraft/view/acf_lanlite1X	float	y	Meters	Position relative to CG
sim/aircraft/view/acf_lanlite1Y	float	y	???	???
sim/aircraft/view/acf_lanlite1Z	float	y	???	???
sim/aircraft/view/acf_lanlite_the	float	y	???	???
sim/aircraft/view/acf_has_lanlite2	int	y	???	???
sim/aircraft/view/acf_lanlite2X	float	y	???	???
sim/aircraft/view/acf_lanlite2Y	float	y	???	???
sim/aircraft/view/acf_lanlite2Z	float	y	???	???
sim/aircraft/view/acf_has_lanlite3	int	y	???	???
sim/aircraft/view/acf_lanlite3X	float	y	???	???
sim/aircraft/view/acf_lanlite3Y	float	y	???	???
sim/aircraft/view/acf_lanlite3Z	float	y	???	???
sim/aircraft/view/acf_has_fuserb1	int	y	???	???
sim/aircraft/view/acf_fuserb1X	float	y	???	???
sim/aircraft/view/acf_fuserb1Y	float	y	???	???
sim/aircraft/view/acf_fuserb1Z	float	y	???	???
sim/aircraft/view/acf_has_fuserb2	int	y	???	???
sim/aircraft/view/acf_fuserb2X	float	y	???	???
sim/aircraft/view/acf_fuserb2Y	float	y	???	???
sim/aircraft/view/acf_fuserb2Z	float	y	???	???
sim/aircraft/view/acf_has_taillite	int	y	???	???
sim/aircraft/view/acf_tailliteX	float	y	???	???
sim/aircraft/view/acf_tailliteY	float	y	???	???
sim/aircraft/view/acf_tailliteZ	float	y	???	???
sim/aircraft/view/acf_has_navlites	int	y	???	???
sim/aircraft/panel/acf_ins_type	int[200]	y	???	instrument definition
sim/aircraft/panel/acf_ins_size	float[200]	y	???	1.0 is DEFAULT.. not pixels because confusion of width vs height, which dimension we are referring to, etc.
sim/aircraft/panel/acf_ins_x	float[200]	y	  [0]	???
sim/aircraft/panel/acf_ins_y	float[200]	y	  [0]	???
sim/aircraft/panel/acf_ins_delx	float[200]	y	  [0]	???
sim/aircraft/panel/acf_ins_dely	float[200]	y	  [0]	???
sim/aircraft/forcefeedback/acf_ff_hydraulic	int	y	???	???
sim/aircraft/forcefeedback/acf_ff_stickshaker	int	y	???	???
sim/aircraft/engine/acf_num_engines	int	y	???	???
sim/aircraft/engine/acf_auto_featherEQ	int	y	???	???
sim/aircraft/engine/acf_throtmax_FWD	float	y	???	???
sim/aircraft/engine/acf_throtmax_REV	float	y	???	???
sim/aircraft/engine/acf_RSC_idlespeed_eng	float	y	???	???
sim/aircraft/engine/acf_RSC_redline_eng	float	y	???	???
sim/aircraft/engine/acf_RSC_mingreen_eng	float	y	???	???
sim/aircraft/engine/acf_RSC_maxgreen_eng	float	y	???	???
sim/aircraft/engine/acf_pmax	float	y	???	???
sim/aircraft/engine/acf_tmax	float	y	???	???
sim/aircraft/engine/acf_burnerinc	float	y	???	???
sim/aircraft/engine/acf_critalt	float	y	???	Critical altitude for props
sim/aircraft/engine/acf_mpmax	float	y	???	???
sim/aircraft/engine/acf_gear_rat	float	y	???	This is for backward compatibility, you can use acf_prop_gear_rat from v700 onwards
sim/aircraft/engine/acf_face_jet	float	y	???	???
sim/aircraft/engine/acf_face_rocket	float	y	???	???
sim/aircraft/engine/acf_spooltime_jet	float	y	???	???
sim/aircraft/engine/acf_max_mach_eff	float	y	???	???
sim/aircraft/engine/acf_fmax_sl	float	y	???	???
sim/aircraft/engine/acf_fmax_opt	float	y	???	???
sim/aircraft/engine/acf_fmax_vac	float	y	???	???
sim/aircraft/engine/acf_h_opt	float	y	???	???
sim/aircraft/engine/aacf_tip_mach_des_50	float	y	???	???
sim/aircraft/engine/aacf_tip_mach_des_100	float	y	???	???
sim/aircraft/engine/aacf_rotor_mi_rat	float	y	???	???
sim/aircraft/engine/aacf_tip_weight	float	y	???	???
sim/aircraft/engine/acf_max_ITT	float	y	???	Max internal turbine temperature the plane can have before engine failure.
sim/aircraft/engine/acf_max_EGT	float	y	???	Max exhauast gas temperature the plane can have before engine failure.
sim/aircraft/engine/acf_max_CHT	float	y	???	MAx cylinder head temperature the plane can have before engine failure.
sim/aircraft/engine/acf_max_OILP	float	y	???	Max Oil Pressure the plane can have before engine failure.
sim/aircraft/engine/acf_max_OILT	float	y	???	Max Oil Temperature the plane can have before engine failure.
sim/aircraft/engine/acf_max_FUELP	float	y	???	Max Fuel Pressure the plane can have before engine failure.
sim/aircraft/prop/acf_en_type	int[8]	y	???	engine type... diff types allowed for B-36, NASP concepts, Mars liquid rocket take-off assist, etc. etc. etc.
sim/aircraft/prop/acf_revthrust_eq	int	y	???	better organization to do it this way, NOTE : Used to be i8 in version 6
sim/aircraft/prop/acf_prop_type	int[8]	y	???	prop type
sim/aircraft/prop/acf_prop_gear_rat	float[8]	y	???	prop to engine or common power source
sim/aircraft/prop/acf_prop_dir	float[8]	y	???	1.0=CW, -1.0=CCW, float so we can multiply effects by floats
sim/aircraft/prop/acf_num_blades	float[8]	y	???	float so we can multiply effects by floats
sim/aircraft/prop/acf_SFC	float[8]	y	???	SFC
sim/aircraft/prop/acf_min_pitch	float[8]	y	???	by governor
sim/aircraft/prop/acf_max_pitch	float[8]	y	???	by governor
sim/aircraft/prop/acf_reversed_pitch	float	y	???	in reverse
sim/aircraft/prop/acf_sidecant	float[8]	y	???	this is physical geometry,
sim/aircraft/prop/acf_vertcant	float[8]	y	???	built into planes & helos and changed with thrust vector
sim/aircraft/prop/acf_prop_mass	float[8]	y	???	mass of prop
sim/aircraft/prop/acf_miprop_rpm	float[8]	y	???	MI for changing prop RPM
sim/aircraft/prop/acf_discarea	float[8]	y	???	for "total" propwash
sim/aircraft/prop/acf_ringarea	float[80]	y	???	area each ring of prop
sim/aircraft/prop/acf_bladesweep	float[80]	y	???	blade sweep for scimitar props
sim/aircraft/prop/acf_des_rpm_prp	float[8]	y	???	design point
sim/aircraft/prop/acf_des_kts_prp	float[8]	y	???	design point
sim/aircraft/prop/acf_des_kts_acf	float[8]	y	???	design point
sim/aircraft/prop/acf_part_eq	int[73]	y	???	???
sim/aircraft/parts/acf_Rafl0	char[2920]	y	string[40]	array of airfoil names, per part
sim/aircraft/parts/acf_Rafl1	char[2920]	y	string[40]	file, not path
sim/aircraft/parts/acf_Tafl0	char[2920]	y	string[40]	file, not path
sim/aircraft/parts/acf_Tafl1	char[2920]	y	string[40]	file, not path
sim/aircraft/parts/acf_els	int[73]	y	???	???
sim/aircraft/parts/acf_Xarm	float[73]	y	???	???
sim/aircraft/parts/acf_Yarm	float[73]	y	???	???
sim/aircraft/parts/acf_Zarm	float[73]	y	???	???
sim/aircraft/parts/acf_X_body_aero	float[73]	y	???	body aero center offset from it's reference
sim/aircraft/parts/acf_Y_body_aero	float[73]	y	???	used for force build-up
sim/aircraft/parts/acf_Z_body_aero	float[73]	y	???	???
sim/aircraft/parts/acf_Croot	float[73]	y	???	???
sim/aircraft/parts/acf_Ctip	float[73]	y	???	???
sim/aircraft/parts/acf_dihed1	float[73]	y	???	???
sim/aircraft/parts/acf_sweep1	float[73]	y	???	???
sim/aircraft/parts/acf_sweep2	float[73]	y	???	???
sim/aircraft/parts/acf_sweepnow	float[73]	y	???	???
sim/aircraft/parts/acf_varsweepEQ	int	y	???	NOTE : This used to be i57 in v6 - eliminated in 832 - now per-wing
sim/aircraft/parts/acf_semilen_SEG	float[73]	y	???	semilen this segment only
sim/aircraft/parts/acf_semilen_JND	float[73]	y	???	semilen of the JOINED wing segments, all JOINED SEGMENTS, for AR and CDi and ground effect, etc.
sim/aircraft/parts/acf_e	float[73]	y	???	???
sim/aircraft/parts/acf_AR	float[73]	y	???	???
sim/aircraft/parts/acf_al_D_al0	float[73]	y	???	???
sim/aircraft/parts/acf_cl_D_cl0	float[73]	y	???	???
sim/aircraft/parts/acf_cm_D_cm0	float[73]	y	???	???
sim/aircraft/parts/acf_delta_fac	float[73]	y	???	???
sim/aircraft/parts/acf_spec_wash	float[73]	y	???	???
sim/aircraft/parts/acf_alpha_max	float[73]	y	???	???
sim/aircraft/parts/acf_slat_effect	float[73]	y	???	???
sim/aircraft/parts/acf_s	float[730]	y	???	s for each element for foils, and FRONT, SIDE, TOP for BODIES.
sim/aircraft/parts/acf_mac	float[730]	y	???	???
sim/aircraft/parts/acf_anginc	float[730]	y	???	???
sim/aircraft/parts/acf_ail1	int[730]	y	???	???
sim/aircraft/parts/acf_ail2	int[730]	y	???	???
sim/aircraft/parts/acf_splr	int[730]	y	???	???
sim/aircraft/parts/acf_flap	int[730]	y	???	???
sim/aircraft/parts/acf_flap2	int[730]	y	???	???
sim/aircraft/parts/acf_flapEQ	int	y	???	???
sim/aircraft/parts/acf_slat	int[730]	y	???	???
sim/aircraft/parts/acf_slatEQ	int	y	???	???
sim/aircraft/parts/acf_sbrk	int[730]	y	???	???
sim/aircraft/parts/acf_sbrkEQ	int	y	???	???
sim/aircraft/parts/acf_drud	int[730]	y	???	???
sim/aircraft/parts/acf_elev	int[730]	y	???	???
sim/aircraft/parts/acf_rudd	int[730]	y	???	???
sim/aircraft/parts/acf_rudd2	int[730]	y	???	???
sim/aircraft/parts/acf_in_downwash	int[53290]	y	???	???
sim/aircraft/parts/acf_body_r	float[73]	y	meters	Radius of part I think
sim/aircraft/parts/acf_gear_type	int[73]	y	???	???
sim/aircraft/parts/acf_gear_latE	float[73]	y	???	???
sim/aircraft/parts/acf_gear_lonE	float[73]	y	???	???
sim/aircraft/parts/acf_gear_axiE	float[73]	y	???	extended
sim/aircraft/parts/acf_gear_latR	float[73]	y	???	???
sim/aircraft/parts/acf_gear_lonR	float[73]	y	???	???
sim/aircraft/parts/acf_gear_axiR	float[73]	y	???	retracted
sim/aircraft/parts/acf_gear_latN	float[73]	y	???	???
sim/aircraft/parts/acf_gear_lonN	float[73]	y	???	???
sim/aircraft/parts/acf_gear_axiN	float[73]	y	???	now
sim/aircraft/parts/acf_gear_leglen	float[73]	y	???	gear param
sim/aircraft/parts/acf_gear_tirrad	float[73]	y	???	gear param
sim/aircraft/parts/acf_gearcon	float[73]	y	???	gear param
sim/aircraft/parts/acf_geardmp	float[73]	y	???	gear param
sim/aircraft/parts/acf_gearstatdef	float[73]	y	???	static deflection... the gear TIRE LOCATION IS OFFSET DOWN BY THIS MUCH IN X-PLANE since people ALWAYS enter gear location UNDER STATIC DEFLECTION!
sim/aircraft/parts/acf_gear_def	float[73]	y	???	current deflection
sim/aircraft/parts/acf_gear_deploy	float[73]	y	???	landing gear deployment, 0.0->1.0
sim/aircraft/parts/acf_gear_xnodef	float[73]	y	???	gear unloaded location
sim/aircraft/parts/acf_gear_ynodef	float[73]	y	???	gear unloaded location
sim/aircraft/parts/acf_gear_znodef	float[73]	y	???	gear unloaded location
sim/aircraft/bodies/acf_fuse_cd	float	y	??? cd for fuselage	???
sim/aircraft/bodies/acf_fuse_cd_array	float[73]	y	??? cd for all parts	???
sim/aircraft/controls/acf_ail1_crat	float	y	???	???
sim/aircraft/controls/acf_ail1_up	float	y	???	???
sim/aircraft/controls/acf_ail1_dn	float	y	???	???
sim/aircraft/controls/acf_RSC_idlespeed_prp	float	y	???	???
sim/aircraft/controls/acf_RSC_redline_prp	float	y	???	???
sim/aircraft/controls/acf_ail2_crat	float	y	???	???
sim/aircraft/controls/acf_ail2_up	float	y	???	???
sim/aircraft/controls/acf_ail2_dn	float	y	???	???
sim/aircraft/controls/acf_RSC_mingreen_prp	float	y	???	???
sim/aircraft/controls/acf_RSC_maxgreen_prp	float	y	???	???
sim/aircraft/controls/acf_elev_crat	float	y	???	???
sim/aircraft/controls/acf_elev_up	float	y	???	???
sim/aircraft/controls/acf_elev_dn	float	y	???	???
sim/aircraft/controls/acf_trq_max_eng	float	y	???	???
sim/aircraft/controls/acf_trq_max_prp	float	y	???	NOTE : This is now the same as acf_trq_max_en in v7
sim/aircraft/controls/acf_rudd_crat	float	y	???	???
sim/aircraft/controls/acf_rudd_lr	float	y	???	???
sim/aircraft/controls/acf_rud2_crat	float	y	???	???
sim/aircraft/controls/acf_rud2_lr	float	y	???	???
sim/aircraft/controls/acf_splr_crat	float	y	???	???
sim/aircraft/controls/acf_splr_up	float	y	???	???
sim/aircraft/controls/acf_sbrk_crat	float	y	???	???
sim/aircraft/controls/acf_sbrk_up	float	y	???	???
sim/aircraft/controls/acf_flap_crat	float	y	???	???
sim/aircraft/controls/acf_flap2_crat	float	y	???	???
sim/aircraft/controls/acf_flap_dn	float[8]	y	???	???
sim/aircraft/controls/acf_flap2_dn	float[8]	y	???	???
sim/aircraft/controls/acf_hstb_trim_up	float	y	???	???
sim/aircraft/controls/acf_hstb_trim_dn	float	y	???	???
sim/aircraft/controls/acf_flap_type	float	y	???	???
sim/aircraft/controls/acf_flap2_type	float	y	???	???
sim/aircraft/controls/acf_con_smooth	float	y	???	???
sim/aircraft/controls/acf_flap_cl	float	y	???	???
sim/aircraft/controls/acf_flap_cd	float	y	???	???
sim/aircraft/controls/acf_flap_cm	float	y	???	???
sim/aircraft/controls/acf_flap2_cl	float	y	???	???
sim/aircraft/controls/acf_flap2_cd	float	y	???	???
sim/aircraft/controls/acf_flap2_cm	float	y	???	???
sim/aircraft/controls/acf_flap_detents	int	y	???	???
sim/aircraft/controls/acf_flap_deftime	float	y	???	???
sim/aircraft/controls/acf_slat_inc	float	y	???	???
sim/aircraft/controls/acf_blown_flap_add_speed	float	y	???	???
sim/aircraft/controls/acf_blown_flap_throt_red	float	y	???	???
sim/aircraft/controls/acf_blown_flap_min_engag	float	y	???	???
sim/aircraft/controls/acf_takeoff_trim	float	y	???	???
sim/aircraft/controls/acf_min_trim_elev	float	y	???	???
sim/aircraft/controls/acf_max_trim_elev	float	y	???	???
sim/aircraft/controls/acf_elev_trim_speedrat	float	y	???	???
sim/aircraft/controls/acf_elev_tab	float	y	???	???
